Neuron_ID,Diff_Mag,Ratio_Mag,Diff_Freq,FT_Mag_P,FT_Mag_C,Base_Mag_P,Base_Mag_C,FT_Freq_P,FT_Freq_C,Base_Freq_P,Base_Freq_C
2017,0.00530976802110672,0.7538561010509394,0.01468580961227417,-0.016258973628282547,-0.021568741649389267,0.08877144008874893,0.09380697458982468,0.3075098693370819,0.29282405972480774,0.5715600252151489,0.5633917450904846
2018,0.004601530730724335,0.9279286760137532,0.01270301640033722,-0.05923249572515488,-0.06383402645587921,-0.05723791569471359,-0.06111790984869003,0.23152890801429749,0.21882589161396027,0.23138660192489624,0.2188069075345993
2019,0.00341726653277874,0.6309552534167581,0.0056826770305633545,-0.005840785801410675,-0.009258052334189415,-0.022922730073332787,-0.026280462741851807,0.2826350927352905,0.2769524157047272,0.248263880610466,0.24469678103923798
2020,-5.404278635978699e-05,1.0019285761707741,-0.01141279935836792,-0.02859567664563656,-0.02854163385927677,-0.028214605525135994,-0.027629172429442406,0.3009069263935089,0.31231972575187683,0.30647578835487366,0.31963416934013367
2021,0.00211208313703537,0.9537382775409092,0.010027691721916199,-0.043522391468286514,-0.045634474605321884,-0.04457557573914528,-0.04651646688580513,0.21703284978866577,0.20700515806674957,0.22100788354873657,0.2111319750547409
2022,0.010012306272983551,1.2112792351763293,0.016782402992248535,0.05739554762840271,0.04738324135541916,0.02636982873082161,0.018053753301501274,0.44805896282196045,0.4312765598297119,0.3957289755344391,0.3779029846191406
2023,0.004641748033463955,1.4480133955265877,0.012684047222137451,0.014999250881373882,0.010357502847909927,0.024257071316242218,0.019736317917704582,0.4134790301322937,0.40079498291015625,0.4297111928462982,0.41724535822868347
2024,-0.01293802261352539,0.9583752392074124,0.0008537769317626953,0.2979101538658142,0.3108481764793396,0.20060433447360992,0.2069089263677597,0.6515064835548401,0.6506527066230774,0.6341074705123901,0.6311665177345276
2025,-0.004499081522226334,1.1367246734877152,-0.007001370191574097,-0.03741353750228882,-0.032914455980062485,-0.005091096740216017,0.00400204723700881,0.2815440893173218,0.2885454595088959,0.36098775267601013,0.3882153034210205
2026,-0.0054873935878276825,1.1473295853195522,-0.012608155608177185,-0.04274088144302368,-0.037253487855196,-0.031660787761211395,-0.02567157708108425,0.2347165197134018,0.24732467532157898,0.2737458050251007,0.2885264754295349
2027,0.004468956962227821,0.8414602696219822,0.011887133121490479,-0.023713981732726097,-0.02818293869495392,-0.010893559083342552,-0.01585048995912075,0.28060486912727356,0.2687177360057831,0.31046029925346375,0.2976624071598053
2028,0.004639074206352234,0.9293835215858647,0.010226920247077942,-0.0610416978597641,-0.06568077206611633,-0.06554163247346878,-0.06973998993635178,0.18343009054660797,0.17320317029953003,0.1767987161874771,0.16781458258628845
2029,0.002585461363196373,1.130567315193283,0.013537853956222534,0.022378552705049515,0.019793091341853142,0.05032749101519585,0.049217741936445236,0.45225217938423157,0.43871432542800903,0.5454519391059875,0.5406799912452698
2030,0.00022302381694316864,0.9914626752624314,0.00017076730728149414,-0.02578422799706459,-0.02600725181400776,0.026572318747639656,0.02852419763803482,0.2752732038497925,0.275102436542511,0.4166097342967987,0.4255748987197876
2031,0.0033908039331436157,0.9252329100512772,0.010151028633117676,-0.04194837808609009,-0.045339182019233704,0.05637383833527565,0.05826061964035034,0.2522294223308563,0.24207839369773865,0.5294095277786255,0.5266393423080444
2032,-0.00331062451004982,1.1512278967581406,-0.006081134080886841,-0.025209862738847733,-0.021899238228797913,0.009488465264439583,0.015284698456525803,0.2754155099391937,0.28149664402008057,0.34636837244033813,0.35935601592063904
2033,-0.005116812884807587,1.083409700314383,-0.009126454591751099,-0.06647533923387527,-0.06135852634906769,-0.06282620877027512,-0.05754419043660164,0.14054909348487854,0.14967554807662964,0.1526165008544922,0.16328930854797363
2034,0.0005078241229057312,1.0245147825468395,0.004221707582473755,0.021181048825383186,0.020673224702477455,-0.038239989429712296,-0.03846098855137825,0.3599821627140045,0.35576045513153076,0.20051607489585876,0.20729924738407135
2035,0.002966005355119705,0.9501753577914618,0.0068685561418533325,-0.05654380843043327,-0.05950981378555298,-0.06088794767856598,-0.06369554996490479,0.1962374746799469,0.18936891853809357,0.19317318499088287,0.18709205090999603
2036,0.0023774877190589905,0.9657826856606407,0.002115592360496521,-0.06707629561424255,-0.06945378333330154,-0.07390467077493668,-0.07643047720193863,0.1835249662399292,0.18140937387943268,0.15873557329177856,0.15556693077087402
2037,0.0007695667445659637,0.9765969017003392,-0.001072019338607788,-0.03207181766629219,-0.032841384410858154,-0.035392846912145615,-0.03568092733621597,0.1930972933769226,0.1941693127155304,0.18598207831382751,0.18701615929603577
2038,-0.051672518253326416,0.9298076321618973,0.00044590234756469727,0.6844965219497681,0.7361690402030945,0.18591013550758362,0.20669937133789062,0.6429587602615356,0.642512857913971,0.5223038196563721,0.522863507270813
2039,-0.009016264230012894,0.8654519172350359,-0.01112818717956543,0.05800163373351097,0.06701789796352386,-0.019032688811421394,-0.016161244362592697,0.5327868461608887,0.5439150333404541,0.32351434230804443,0.3317015767097473
2040,-0.0066788941621780396,0.9463272425853543,-0.017010092735290527,0.117776058614254,0.12445495277643204,0.018384484574198723,0.022367529571056366,0.5881811380386353,0.6051912307739258,0.3677709400653839,0.3699244558811188
2041,0.00020413845777511597,0.9973445690965218,0.0067072659730911255,-0.07629610598087311,-0.07650024443864822,-0.06428451091051102,-0.06477203965187073,0.18530850112438202,0.1786012351512909,0.21874050796031952,0.21028763055801392
2042,0.0033096373081207275,1.0231831376401999,0.003016829490661621,0.14602604508399963,0.1427164077758789,0.13276061415672302,0.1313391774892807,0.6639344096183777,0.6609175801277161,0.6228085160255432,0.6206454634666443
2043,0.0035425275564193726,0.8085799401622793,0.00821569561958313,-0.01495981216430664,-0.018502339720726013,0.003854001872241497,-0.0007878229953348637,0.3509790301322937,0.34276333451271057,0.3870863616466522,0.3785955309867859
